ID,Sex,Marital status,Age,Education,Income,Occupation,Settlement size
100007386,1,1,56,2,116437,0,0
100007387,0,0,34,1,171784,1,2
100007388,0,0,39,1,96381,0,0
100007389,1,1,34,2,117602,1,0
100007390,0,1,34,1,89296,0,0
100007391,1,1,29,2,112393,2,2
100007392,1,1,31,1,80465,1,1
100007393,1,1,34,1,112330,1,0
100007394,0,1,41,1,126612,1,1
100007395,1,1,18,0,72491,1,0
100007396,1,1,45,2,124851,1,1
100007397,1,1,49,2,161614,1,1
100007398,0,0,31,1,154093,1,2
100007399,1,1,46,2,147282,2,1
100007400,0,0,27,1,157418,1,1
100007401,1,1,18,2,156719,1,1
100007402,1,1,35,1,118456,1,2
100007403,1,0,37,2,141295,1,0
100007404,1,0,48,1,100703,0,0
100007405,1,1,42,2,84966,0,0
100007406,0,0,28,1,150504,1,1
100007407,0,0,29,1,106545,1,1
100007408,1,0,38,1,101970,0,0
100007409,0,0,27,1,138173,0,0
100007410,0,1,38,1,106272,1,0
100007411,0,0,28,0,105502,1,1
100007412,0,0,27,1,112421,0,0
100007413,0,0,32,1,185370,2,2
100007414,0,0,34,1,152859,2,2
100007415,0,1,49,2,108366,1,1
100007416,0,1,18,1,89556,1,0
100007417,1,1,36,1,157256,2,1
100007418,0,0,18,0,85699,1,1
100007419,0,0,18,0,132134,1,2
100007420,1,1,43,2,92652,1,1
100007421,0,0,37,1,139639,1,1
100007422,0,0,44,1,130062,2,1
100007423,0,0,44,1,164414,2,2
100007424,0,0,43,1,165174,0,1
100007425,0,0,38,1,139050,1,1
100007426,1,0,44,1,145225,1,1
100007427,0,1,37,1,157315,2,2
100007428,1,0,23,0,78567,1,1
100007429,0,0,22,0,108242,1,1
100007430,0,1,45,2,108588,1,0
100007431,1,0,18,0,139982,1,2
100007432,0,0,40,1,138098,1,1
100007433,0,0,39,0,58152,0,0
100007434,0,0,23,1,150402,1,1
100007435,0,0,59,2,187989,2,1
100007436,0,0,46,2,138508,1,1
100007437,1,1,24,1,92601,1,0
100007438,0,0,36,1,105707,1,2
100007439,1,1,49,2,90894,1,1
100007440,1,0,22,0,105557,0,0
100007441,0,0,44,1,128966,1,1
100007442,1,0,33,2,83850,0,0
100007443,0,1,41,1,124930,1,1
100007444,1,1,26,1,79174,1,1
100007445,1,0,43,1,119798,1,2
100007446,0,0,23,0,162759,1,1
100007447,1,1,22,1,104345,1,0
100007448,0,0,37,0,184813,1,1
100007449,1,1,42,1,147299,1,2
100007450,1,0,64,2,161758,0,0
100007451,1,0,45,1,159388,1,1
100007452,0,0,35,0,154921,1,2
100007453,1,1,18,0,143426,1,1
100007454,0,0,28,1,116667,0,1
100007455,0,0,62,2,124402,1,0
100007456,1,1,27,1,120974,1,1
100007457,0,0,29,1,137863,1,1
100007458,0,0,43,0,114032,0,0
100007459,0,0,42,1,164803,1,1
100007460,0,1,25,1,144709,1,1
100007461,0,0,49,1,162015,1,2
100007462,0,0,45,0,210391,1,2
100007463,1,1,37,1,87930,0,0
100007464,1,0,19,1,56173,0,0
100007465,0,1,33,1,117046,1,0
100007466,1,0,45,1,169760,1,0
100007467,1,0,18,0,131008,1,1
100007468,1,1,43,3,173594,2,2
100007469,1,0,39,1,146648,1,2
100007470,0,1,29,1,50690,0,1
100007471,1,0,54,2,131974,1,1
100007472,1,1,25,1,138289,2,0
100007473,0,0,27,0,97898,0,0
100007474,1,1,38,2,163990,1,1
100007475,1,1,55,2,167266,1,1
100007476,0,0,35,1,134168,1,1
100007477,1,1,18,0,84023,1,1
100007478,0,1,45,1,112921,1,1
100007479,1,0,42,1,57114,0,1
100007480,0,1,22,0,102239,1,1
100007481,1,0,35,1,110330,1,0
100007482,1,1,18,1,35832,0,0
100007483,1,1,40,2,142543,1,2
100007484,0,0,30,1,89348,1,0
100007485,0,1,28,1,146006,2,2
100007486,0,0,66,2,74778,0,0
100007487,1,1,18,1,71624,0,0
100007488,1,0,39,1,126642,0,1
100007489,0,1,48,1,180092,1,2
100007490,1,1,42,1,124894,1,1
100007491,1,0,29,1,133240,1,2
100007492,1,1,18,0,48661,0,1
100007493,0,0,30,0,134668,1,1
100007494,0,0,30,0,120611,1,2
100007495,0,1,33,0,96995,1,2
100007496,0,0,34,0,65859,0,0
100007497,0,0,31,1,106661,0,0
100007498,1,1,34,1,123352,1,0
100007499,1,1,21,1,81561,1,2
100007500,1,1,28,2,35832,0,0
100007501,1,1,31,1,120957,2,0
100007502,0,0,34,1,129367,1,1
100007503,1,0,27,0,101527,1,0
100007504,1,1,33,1,123075,1,0
100007505,0,1,18,0,90172,1,2
100007506,0,0,33,0,200343,2,1
100007507,0,0,28,0,82667,0,1
100007508,1,0,27,0,83552,0,0
100007509,0,0,57,1,149171,0,2
100007510,1,1,41,2,138245,1,1
100007511,1,1,41,2,149043,1,1
100007512,0,1,49,2,140450,1,2
100007513,0,0,38,0,110188,1,0
100007514,0,1,38,1,193239,1,1
100007515,0,0,54,2,152025,1,1
100007516,1,1,30,1,118691,1,1
100007517,1,1,33,1,73182,1,0
100007518,0,1,26,1,135066,2,1
100007519,0,1,49,1,116922,0,1
100007520,0,0,37,1,135526,1,1
100007521,0,0,35,0,107527,1,2
100007522,1,1,21,1,79675,0,0
100007523,1,1,35,1,167252,1,2
100007524,0,0,40,1,98686,1,0
100007525,1,0,27,0,116873,1,2
100007526,0,0,47,1,132573,2,2
100007527,0,1,28,0,178480,2,2
100007528,0,0,34,1,124717,0,0
100007529,0,1,21,1,98309,0,0
100007530,0,0,45,1,153298,1,2
100007531,0,0,27,1,115633,0,0
100007532,0,1,24,0,99750,1,0
100007533,0,0,32,0,103990,0,0
100007534,1,1,34,1,98626,0,1
100007535,1,1,25,1,145680,1,0
100007536,0,0,49,2,137909,2,1
100007537,0,0,47,1,135839,0,0
100007538,0,0,37,1,157922,1,2
100007539,1,1,35,2,85145,0,0
100007540,1,1,59,2,202663,1,1
100007541,1,1,18,0,80841,1,0
100007542,1,1,53,2,112426,1,0
100007543,0,0,38,1,139886,2,2
100007544,1,1,34,1,133285,1,0
100007545,0,0,29,0,60022,0,0
100007546,1,0,18,0,97959,1,0
100007547,0,0,52,1,172374,1,2
100007548,0,1,26,0,57631,0,0
100007549,1,1,25,2,120329,1,0
100007550,1,1,49,2,151992,1,1
100007551,0,1,49,1,116624,1,1
100007552,1,1,30,0,157169,1,1
100007553,0,1,52,1,185846,1,1
100007554,1,0,31,2,69809,0,1
100007555,0,1,23,0,165259,1,2
100007556,0,0,21,0,99924,1,0
100007557,0,0,40,1,181864,1,2
100007558,0,1,27,1,78473,0,0
100007559,1,1,51,2,121143,0,1
100007560,0,0,55,1,126555,0,0
100007561,0,0,37,0,179756,2,2
100007562,0,0,58,2,214586,2,2
100007563,0,1,33,0,87867,1,1
100007564,0,1,24,1,163142,2,2
100007565,0,1,26,1,93648,1,0
100007566,0,0,46,1,174119,2,2
100007567,0,0,25,0,147132,2,0
100007568,1,1,29,1,108507,1,0
100007569,1,1,39,1,104506,0,0
100007570,0,0,43,2,196080,2,2
100007571,1,1,35,1,100741,1,0
100007572,1,0,46,1,165345,1,0
100007573,1,1,51,2,109617,1,1
100007574,0,0,49,1,141482,1,1
100007575,1,1,18,0,89313,1,1
100007576,0,1,38,1,171106,1,1
100007577,0,1,25,1,122819,1,1
100007578,0,0,25,0,71285,0,1
100007579,0,0,35,1,169299,1,1
100007580,1,1,24,1,132343,0,2
100007581,1,1,18,1,127521,0,1
100007582,0,0,41,2,132253,1,1
100007583,0,0,55,2,135825,1,1
100007584,1,1,50,2,157352,2,1
100007585,1,1,33,1,142140,1,1
100007586,1,1,34,1,142234,1,1
100007587,0,0,32,1,159472,2,0
100007588,0,0,25,1,104824,1,0
100007589,1,1,48,2,81372,0,0
100007590,1,0,29,1,69845,0,0
100007591,1,1,21,1,35832,0,0
100007592,0,0,32,1,186199,1,2
100007593,0,0,50,1,99441,1,1
100007594,0,1,44,1,170618,1,1
100007595,0,0,46,1,177670,2,2
100007596,0,1,48,2,140830,2,1
100007597,1,1,32,1,100687,1,1
100007598,0,0,25,1,47212,0,1
100007599,1,1,62,3,59206,0,0
100007600,0,1,18,0,35832,0,0
100007601,1,0,20,0,86856,0,2
100007602,0,0,52,2,119260,1,0
100007603,0,0,20,0,92059,0,0
100007604,0,0,58,1,100754,0,0
100007605,0,0,48,1,154072,1,1
100007606,1,1,26,1,113201,1,0
100007607,0,1,19,0,78909,1,0
100007608,1,1,28,1,175686,1,0
100007609,0,0,34,1,189583,1,1
100007610,1,0,33,0,151782,1,0
100007611,1,0,46,1,88536,1,0
100007612,0,0,27,0,167685,2,2
100007613,0,1,42,2,112399,1,1
100007614,0,0,35,0,73300,0,0
100007615,0,0,23,0,98742,0,1
100007616,1,1,30,2,190202,2,2
100007617,0,0,38,1,111015,1,0
100007618,1,1,36,2,116946,1,2
100007619,0,0,60,2,107918,1,0
100007620,0,0,59,2,126183,1,1
100007621,0,1,37,1,147722,2,2
100007622,0,0,39,1,160826,0,2
100007623,1,1,54,2,131613,1,2
100007624,0,0,47,1,128709,1,0
100007625,0,0,44,1,128637,1,2
100007626,0,0,47,1,141210,1,0
100007627,0,0,25,0,126030,1,1
100007628,0,0,38,1,125869,0,2
100007629,1,1,28,1,126670,1,0
100007630,0,0,41,0,178197,1,2
100007631,0,1,34,1,110690,1,0
100007632,1,0,43,1,79986,1,1
100007633,0,0,34,0,142543,2,1
100007634,1,1,23,1,70616,1,2
100007635,1,0,26,0,193613,2,2
100007636,1,1,54,2,159626,2,1
100007637,1,1,18,1,97451,1,1
100007638,1,0,35,1,99298,1,0
100007639,1,1,18,0,129992,1,0
100007640,1,1,31,1,162202,1,2
100007641,1,1,37,1,150711,0,1
100007642,1,1,33,1,154092,1,1
100007643,1,1,24,1,144964,0,0
100007644,1,1,19,1,81579,0,0
100007645,0,0,34,1,165399,2,2
100007646,0,0,20,0,61116,0,0
100007647,1,1,33,2,139247,0,0
100007648,1,0,41,1,147531,1,1
100007649,0,0,31,0,148859,1,1
100007650,0,0,45,1,131597,1,0
100007651,0,0,37,1,159378,1,1
100007652,0,0,18,0,114034,1,1
100007653,1,1,50,1,101589,1,1
100007654,0,1,48,1,157518,2,2
100007655,0,0,34,0,83483,1,1
100007656,1,1,28,1,101296,1,1
100007657,1,1,41,1,79567,1,0
100007658,1,1,31,1,103218,1,1
100007659,0,0,37,1,167711,2,1
100007660,1,1,36,1,126389,1,0
100007661,0,1,20,1,67211,0,0
100007662,1,1,38,1,122689,0,0
100007663,1,1,34,1,130349,1,0
100007664,1,0,28,0,114481,1,0
100007665,0,0,58,2,212824,2,2
100007666,0,0,46,1,120615,0,2
100007667,0,0,48,1,121424,0,0
100007668,1,0,41,2,61539,0,1
100007669,1,1,52,2,188489,2,2
100007670,0,0,46,1,149253,0,1
100007671,0,0,39,0,126704,0,1
100007672,1,1,43,2,153169,1,1
100007673,0,0,49,1,78957,0,2
100007674,1,1,42,2,117446,0,0
100007675,0,0,35,1,153528,2,2
100007676,0,0,41,1,90978,0,1
100007677,1,0,34,1,86839,1,1
100007678,0,0,43,1,75209,0,0
100007679,1,1,39,1,175734,2,0
100007680,0,1,18,1,113859,1,1
100007681,1,1,39,1,151274,1,0
100007682,0,1,38,1,113066,1,2
100007683,1,1,35,2,111457,0,1
100007684,0,0,56,1,91339,1,1
100007685,1,0,40,2,147765,0,1
100007686,0,1,52,1,132872,1,1
100007687,1,1,28,1,149188,1,1
100007688,0,0,41,1,113248,1,0
100007689,1,1,19,1,35832,0,0
100007690,1,1,42,2,129475,0,1
100007691,1,1,41,1,64418,0,1
100007692,0,1,33,1,133361,1,0
100007693,1,1,18,1,66575,0,0
100007694,1,1,18,1,98703,1,2
100007695,0,0,53,1,130062,1,2
100007696,0,0,18,0,135275,1,1
100007697,0,1,41,1,147709,1,1
100007698,1,1,28,1,162716,1,1
100007699,1,1,44,2,134915,1,2
100007700,0,0,47,2,154171,1,1
100007701,1,1,28,1,91450,1,0
100007702,1,0,18,1,72984,0,0
100007703,1,1,37,1,103635,1,0
100007704,0,0,54,2,149934,1,0
100007705,1,1,29,1,96562,1,1
100007706,0,0,37,1,96808,1,0
100007707,1,0,24,0,137306,1,1
100007708,1,0,58,2,144573,0,1
100007709,1,1,32,1,139254,1,0
100007710,1,1,35,1,145513,1,1
100007711,1,1,27,1,57016,0,1
100007712,1,0,45,1,127157,1,0
100007713,1,1,40,1,155222,1,0
100007714,0,1,27,1,109397,1,0
100007715,0,1,27,1,129764,1,1
100007716,1,1,38,1,39675,0,0
100007717,0,0,31,0,141744,1,1
100007718,1,1,32,2,35832,0,0
100007719,0,1,38,1,121413,1,2
100007720,1,1,39,1,163406,1,1
100007721,0,0,42,1,103874,1,2
100007722,0,0,21,1,71929,0,0
100007723,0,0,37,1,84586,1,1
100007724,1,1,40,2,173395,2,1
100007725,0,0,41,1,129726,1,2
100007726,0,0,22,0,79366,0,0
100007727,1,1,32,2,35832,0,0
100007728,0,0,45,1,171928,2,1
100007729,0,1,30,1,120596,1,1
100007730,1,0,20,0,82888,1,0
100007731,1,1,40,1,118865,1,1
100007732,1,1,18,0,79036,0,1
100007733,1,1,18,1,145884,2,2
100007734,0,0,21,0,104153,0,0
100007735,0,0,31,1,137971,0,1
100007736,0,1,37,1,79274,0,0
100007737,1,1,51,3,165697,1,2
100007738,0,0,38,1,97382,0,0
100007739,0,1,34,1,148102,1,2
100007740,0,0,37,0,142685,1,0
100007741,1,0,43,1,88773,0,0
100007742,1,1,40,1,98220,1,1
100007743,0,0,40,1,183997,1,2
100007744,0,1,39,1,202636,2,2
100007745,0,1,36,1,75201,0,0
100007746,1,1,41,1,138907,1,1
100007747,1,1,29,2,56450,0,0
100007748,0,1,56,2,158279,1,1
100007749,1,0,27,1,116240,1,0
100007750,0,0,21,0,148682,1,2
100007751,1,0,45,1,144993,1,1
100007752,1,1,18,1,127542,1,0
100007753,1,1,22,1,83903,0,1
100007754,1,0,30,1,135833,1,0
100007755,0,0,38,1,136771,1,1
100007756,1,1,35,1,57921,0,0
100007757,0,0,35,1,153024,1,2
100007758,1,1,36,1,113244,0,2
100007759,1,1,36,1,134598,1,1
100007760,0,1,35,1,129537,1,0
100007761,0,0,35,1,204381,2,2
100007762,0,1,40,1,128291,1,1
100007763,0,0,57,1,96077,1,1
100007764,1,1,41,1,99549,0,0
100007765,0,1,24,0,65733,1,0
100007766,0,0,43,1,80598,0,1
100007767,0,0,28,1,147973,1,1
100007768,0,0,51,1,162522,1,1
100007769,1,1,28,1,113659,0,1
100007770,0,0,31,1,142537,0,0
100007771,0,0,58,2,88158,1,1
100007772,0,0,33,1,102994,1,1
100007773,0,1,18,0,57457,1,1
100007774,1,0,34,1,46067,0,1
100007775,0,1,35,1,109311,1,1
100007776,1,1,51,2,162926,1,2
100007777,0,0,62,2,158349,1,1
100007778,1,1,48,2,155777,1,2
100007779,1,1,25,1,109822,1,1
100007780,1,0,30,1,167284,1,1
100007781,1,1,49,2,98919,0,0
100007782,1,0,28,1,126152,1,1
100007783,1,1,31,2,123961,1,0
100007784,0,1,20,1,87649,0,0
100007785,1,0,21,0,152006,1,1
100007786,1,1,47,1,137368,1,1
100007787,1,0,40,1,136795,1,0
100007788,0,0,29,1,89523,1,0
100007789,1,0,41,1,85933,1,1
100007790,0,0,35,1,145265,1,1
100007791,0,0,46,1,191921,2,2
100007792,1,0,49,1,62404,0,0
100007793,1,0,62,2,103617,0,1
100007794,1,1,49,2,88463,0,1
100007795,1,1,34,1,106232,0,1
100007796,0,0,18,0,112752,1,1
100007797,1,1,39,1,103754,1,0
100007798,1,1,25,1,110708,1,1
100007799,0,0,30,0,119365,0,1
100007800,1,1,29,1,157776,1,1
100007801,1,1,42,1,35832,0,0
100007802,0,0,31,1,191134,2,1
100007803,1,0,36,1,46490,0,1
100007804,0,1,40,1,94077,1,0
100007805,0,0,39,1,165405,1,2
100007806,1,0,33,1,95615,1,2
100007807,0,0,39,1,111792,1,1
100007808,0,1,22,1,119714,2,1
100007809,0,0,28,0,112120,1,0
100007810,0,0,32,1,151760,2,2
100007811,0,1,40,2,110109,1,2
100007812,0,1,34,1,175085,1,0
100007813,1,1,18,1,78574,1,0
100007814,0,0,62,1,160902,1,1
100007815,1,1,20,1,91543,0,0
100007816,0,0,28,0,116056,0,1
100007817,0,0,51,1,54158,0,0
100007818,1,1,28,1,86172,0,1
100007819,0,0,39,1,115316,1,1
100007820,1,1,26,0,155725,1,1
100007821,0,0,36,1,116569,1,1
100007822,1,1,21,1,131510,2,1
100007823,1,1,31,1,118413,1,1
100007824,0,0,34,1,134163,1,0
100007825,1,1,24,1,125329,1,0
100007826,0,0,37,1,88801,0,1
100007827,1,0,32,0,54818,1,1
100007828,0,1,38,1,161909,2,1
100007829,1,0,47,1,111307,1,0
100007830,0,1,26,1,133234,1,2
100007831,1,1,40,1,102728,1,1
100007832,1,1,60,2,115608,0,1
100007833,0,0,45,1,114462,1,1
100007834,1,1,25,1,60327,0,0
100007835,0,0,21,0,119740,1,1
100007836,0,1,47,2,105113,1,0
100007837,1,1,51,2,137044,1,1
100007838,1,1,51,2,141493,1,0
100007839,1,1,37,1,83545,0,0
100007840,1,0,34,1,102733,1,1
100007841,1,1,44,2,133115,0,1
100007842,1,1,67,2,148145,1,0
100007843,1,0,47,1,110213,0,0
100007844,0,0,20,1,96486,0,1
100007845,0,1,38,1,156153,2,1
100007846,0,0,21,1,108401,2,1
100007847,1,0,39,1,85456,0,1
100007848,0,1,29,1,122992,1,1
100007849,1,0,32,0,96783,0,0
100007850,0,0,25,0,110570,1,1
100007851,1,1,38,2,87872,0,0
100007852,1,1,22,1,66227,0,0
100007853,1,0,28,1,149214,1,0
100007854,1,1,25,1,92308,0,0
100007855,1,1,23,0,118598,1,2
100007856,1,1,35,2,126744,0,1
100007857,1,1,43,2,163612,0,1
100007858,0,1,64,2,127295,1,1
100007859,0,0,20,0,118140,1,2
100007860,1,1,39,2,137133,1,1
100007861,0,1,48,1,113946,0,0
100007862,1,0,24,0,35832,0,0
100007863,0,1,29,1,111788,1,1
100007864,1,1,34,2,115250,0,1
100007865,1,1,34,1,139466,1,1
100007866,1,1,25,1,155635,2,1
100007867,1,0,34,1,35832,0,0
100007868,0,0,54,2,143498,1,1
100007869,1,1,22,1,55011,0,0
100007870,1,1,38,2,116443,1,1
100007871,0,1,20,0,63745,1,0
100007872,0,1,25,1,124078,1,0
100007873,0,1,53,2,177242,2,2
100007874,0,0,39,1,105152,1,1
100007875,1,1,20,2,70217,0,0
100007876,0,0,27,0,141638,2,0
100007877,0,0,34,1,135870,1,2
100007878,1,1,27,1,129511,1,1
100007879,0,0,45,2,198230,2,2
100007880,0,0,55,1,111900,1,1
100007881,1,0,26,0,84793,1,0
100007882,1,1,51,2,123348,0,0
100007883,1,1,23,1,52131,0,1
100007884,0,0,31,1,185820,1,1
100007885,0,1,32,1,71157,1,0
100007886,1,1,30,1,154161,2,1
100007887,0,1,28,1,95819,0,0
100007888,1,1,41,2,101303,1,0
100007889,1,1,31,1,122562,1,0
100007890,1,0,28,1,138871,1,2
100007891,0,1,39,2,76144,1,2
100007892,0,1,33,1,118475,1,2
100007893,0,0,46,1,152697,1,2
100007894,1,1,41,1,107504,0,1
100007895,0,1,31,1,124258,1,1
100007896,0,1,30,1,74279,0,0
100007897,0,1,19,1,115260,2,1
100007898,1,0,42,1,120199,1,0
100007899,0,0,35,1,194489,2,2
100007900,1,0,57,2,122721,1,2
100007901,0,0,39,1,63166,0,0
100007902,1,1,20,0,89149,0,2
100007903,1,0,58,2,177838,2,1
100007904,0,0,41,1,104533,1,1
100007905,1,1,38,0,38274,0,1
100007906,0,1,27,0,139203,0,0
100007907,0,0,38,0,148108,1,0
100007908,1,0,30,1,98692,1,1
100007909,0,0,46,1,123515,1,1
100007910,0,0,37,1,87932,1,0
100007911,0,1,35,1,103559,0,0
100007912,1,1,39,1,89798,0,0
100007913,1,0,47,2,114228,1,1
100007914,0,0,45,2,166583,1,2
100007915,0,1,20,0,134226,1,0
100007916,1,0,52,2,84397,0,0
100007917,0,0,33,1,169633,1,1
100007918,0,0,20,1,101162,1,0
100007919,1,1,23,1,102035,1,2
100007920,1,1,28,1,108842,0,1
100007921,0,1,24,1,137721,2,0
100007922,0,0,32,0,155595,1,1
100007923,1,1,31,1,142056,2,1
100007924,0,0,23,1,83070,1,0
100007925,1,1,19,1,113192,1,1
100007926,1,1,49,2,134417,1,1
100007927,0,0,36,0,81036,0,0
100007928,0,0,38,1,143321,1,2
100007929,0,0,22,0,125476,1,1
100007930,0,1,54,2,164277,1,1
100007931,1,1,23,1,141680,1,1
100007932,1,1,31,1,114980,1,0
100007933,0,0,26,0,149199,1,2
100007934,1,1,18,1,136307,1,1
100007935,1,1,21,1,55910,0,0
100007936,1,1,38,2,113204,1,0
100007937,0,0,47,1,76523,0,0
100007938,1,1,33,1,141688,2,1
100007939,1,1,20,1,53363,0,0
100007940,0,1,42,1,106124,1,2
100007941,1,1,26,1,123223,1,1
100007942,1,0,39,1,159304,1,0
100007943,0,0,59,1,152610,1,1
100007944,1,0,45,2,106486,0,0
100007945,1,0,20,0,133654,1,0
100007946,1,0,42,1,68625,0,0
100007947,1,1,18,1,111491,1,0
100007948,0,0,36,2,133051,1,1
100007949,0,0,26,0,138716,1,2
100007950,1,1,49,2,127396,1,2
100007951,1,1,45,2,114289,1,1
100007952,1,0,59,2,117580,1,1
100007953,1,1,29,1,209381,2,0
100007954,1,1,43,1,138354,1,1
100007955,0,0,33,0,75033,0,1
100007956,0,1,46,2,109005,0,1
100007957,1,1,42,2,132559,1,0
100007958,0,1,43,2,145546,2,2
100007959,0,0,25,0,119110,1,1
100007960,0,0,32,1,104884,2,2
100007961,0,1,32,1,109171,1,1
100007962,1,0,35,0,146780,1,0
100007963,0,1,18,1,134043,2,2
100007964,0,1,26,1,188503,2,2
100007965,0,1,18,0,152253,1,1
100007966,0,1,36,1,142636,1,1
100007967,1,1,47,1,88268,0,0
100007968,0,0,57,2,103059,0,0
100007969,0,0,30,2,55899,0,0
100007970,0,1,51,2,119356,0,0
100007971,1,1,19,1,70418,0,0
100007972,0,0,37,1,111364,0,1
100007973,1,1,42,2,171037,1,1
100007974,0,1,26,1,54125,0,1
100007975,0,1,47,1,166157,1,1
100007976,0,0,33,0,109827,1,0
100007977,1,1,39,1,154225,1,1
100007978,1,1,43,2,43508,0,0
100007979,1,1,34,1,142305,1,2
100007980,0,0,42,1,136138,1,2
100007981,0,0,27,0,91382,0,1
100007982,1,1,27,1,83066,0,0
100007983,0,0,32,0,134125,2,1
100007984,0,1,19,1,100791,0,1
100007985,0,0,48,1,135385,1,2
100007986,0,0,33,1,118522,1,2
100007987,1,0,53,2,114625,0,1
100007988,0,0,52,2,206458,2,2
100007989,1,1,30,1,68967,1,1
100007990,0,0,38,1,128961,1,1
100007991,0,0,53,1,149544,1,2
100007992,0,0,50,2,151411,1,2
100007993,0,0,32,0,131429,0,0
100007994,0,0,65,2,186486,1,0
100007995,0,0,41,2,171582,1,1
100007996,1,1,34,1,112533,0,1
100007997,1,1,21,1,180593,2,1
100007998,1,1,33,1,97786,0,0
100007999,0,0,33,1,146544,1,1
100008000,1,1,37,1,132751,1,0
100008001,1,0,32,1,113025,0,1
100008002,1,0,35,1,120243,1,1
100008003,1,1,25,1,43518,0,1
100008004,1,1,18,0,101195,1,1
100008005,1,1,31,1,106758,1,0
100008006,1,1,26,1,152079,2,1
100008007,0,0,31,0,126324,1,2
100008008,0,1,18,0,83299,1,0
100008009,0,0,38,1,130379,1,0
100008010,0,0,34,0,117287,0,1
100008011,1,1,31,1,121730,1,1
100008012,0,0,47,1,176228,1,1
100008013,1,0,53,2,66018,0,0
100008014,1,1,24,1,168100,1,1
100008015,1,1,35,2,86267,1,1
100008016,1,1,18,0,72905,1,0
100008017,1,1,57,2,156421,0,0
100008018,1,1,48,2,142330,1,1
100008019,0,1,30,1,168138,1,2
100008020,0,0,33,1,96066,0,1
100008021,1,0,52,1,136636,1,2
100008022,1,1,20,1,93521,1,0
100008023,1,1,44,2,90318,1,0
100008024,0,0,25,1,85100,0,0
100008025,1,1,18,1,146291,1,0
100008026,0,1,27,1,115209,1,1
100008027,1,1,46,2,172058,1,2
100008028,1,0,29,1,106011,0,0
100008029,0,0,39,1,99248,0,0
100008030,1,1,36,1,129619,1,1
100008031,0,0,24,0,79859,0,0
100008032,1,1,18,1,107156,1,2
100008033,1,0,19,0,175309,0,0
100008034,0,0,27,0,125523,1,0
100008035,0,1,67,2,203768,2,1
100008036,1,0,22,1,83693,0,0
100008037,1,1,51,2,39053,0,0
100008038,0,0,41,1,154518,1,2
100008039,0,0,45,1,73487,0,0
100008040,0,0,27,1,111443,1,0
100008041,1,1,29,2,92822,0,0
100008042,1,0,18,0,121699,1,1
100008043,0,1,26,1,132815,1,1
100008044,0,0,38,1,132762,2,0
100008045,1,1,26,1,104314,1,0
100008046,1,0,37,1,108610,1,1
100008047,1,1,34,1,99057,1,0
100008048,1,0,52,1,150103,1,0
100008049,1,1,32,1,128227,0,0
100008050,1,1,35,2,80471,0,1
100008051,1,1,29,1,88930,0,1
100008052,0,0,56,1,143146,1,0
100008053,1,1,30,2,165441,2,0
100008054,1,1,18,1,108899,1,1
100008055,0,0,47,1,114090,1,1
100008056,1,1,40,1,210461,2,0
100008057,0,0,40,0,141750,1,1
100008058,0,1,20,0,46415,0,0
100008059,0,0,33,1,86749,1,0
100008060,1,1,33,1,68855,1,0
100008061,1,1,27,1,52314,0,0
100008062,0,0,32,1,46143,0,0
100008063,0,1,40,2,178104,1,0
100008064,1,1,18,0,122646,1,0
100008065,0,0,18,0,159030,2,2
100008066,1,1,29,1,121234,1,1
100008067,1,1,18,1,90614,1,0
100008068,0,0,48,1,110846,1,0
100008069,1,1,30,1,45902,0,0
100008070,0,0,35,1,89782,1,0
100008071,0,0,46,1,189043,1,0
100008072,0,0,43,1,80053,1,1
100008073,0,0,27,1,93735,1,1
100008074,1,0,48,2,93760,0,0
100008075,1,1,22,1,139213,0,0
100008076,0,1,28,0,119925,0,1
100008077,0,0,36,1,121700,1,1
100008078,1,1,24,2,140111,0,1
100008079,1,1,43,2,161398,2,2
100008080,1,0,19,0,52501,0,0
100008081,1,0,31,0,66071,1,0
100008082,1,1,33,2,157851,1,1
100008083,0,1,37,2,99862,0,1
100008084,0,1,46,1,194205,2,1
100008085,0,1,41,1,170524,2,2
100008086,0,1,20,0,160527,1,1
100008087,1,0,36,1,193679,2,1
100008088,1,0,49,2,98486,1,1
100008089,0,0,28,0,66794,0,0
100008090,1,1,22,0,67722,0,0
100008091,1,0,41,1,198433,2,1
100008092,0,0,49,1,138201,1,1
100008093,0,0,30,1,124370,0,1
100008094,0,0,62,2,168877,1,2
100008095,0,0,21,0,90930,0,1
100008096,1,0,47,2,132897,1,1
100008097,0,0,54,2,170783,2,0
100008098,1,1,34,1,132947,1,1
100008099,1,1,32,2,114201,1,0
100008100,1,1,35,1,163605,1,1
100008101,1,1,41,1,65553,0,0
100008102,1,1,29,1,109714,0,1
100008103,1,1,36,1,137209,2,1
100008104,0,1,52,2,188674,1,0
100008105,0,1,25,1,88312,0,1
100008106,0,0,43,0,136585,1,1
100008107,0,0,34,0,151474,1,1
100008108,1,1,29,1,112115,1,1
100008109,1,0,42,1,131423,0,1
100008110,0,0,56,1,182518,1,1
100008111,1,1,21,2,108970,1,2
100008112,0,0,46,1,110659,1,1
100008113,1,1,50,2,140065,1,1
100008114,1,1,33,1,141680,1,0
100008115,1,0,19,1,138169,1,1
100008116,1,1,33,1,122900,1,0
100008117,0,0,39,1,167386,1,2
100008118,1,1,44,2,104504,0,0
100008119,0,1,24,0,91445,0,0
100008120,0,0,37,0,161492,1,2
